"sAMAccountName","Enabled","created","LastLogonDate","Company","department","homephone"
"115068","True","18/03/2015 16:52:34",,"F01 - Usina","1112212 - TETRA TOP ENVASE","115068"
"024028","True","18/03/2015 16:54:15","26/01/2017 15:45:16","F01 - Usina","1112202 - UHT SIG","24028"
"069153","True","18/03/2015 16:58:00",,"F01 - Usina","1114406 - EXPED SECOS","69153"
"121559","True","18/03/2015 17:00:55","26/01/2017 12:04:15","F01 - Usina","1112202 - UHT SIG","121559"
"104601","True","18/03/2015 17:18:39","23/01/2017 10:02:50","F01 - Usina","1112212 - TETRA TOP ENVASE","104601"
"125193","True","18/03/2015 17:19:40","26/01/2017 06:21:52","F01 - Usina","1112202 - UHT SIG","125193"
"039735","True","18/03/2015 17:43:22","23/01/2017 11:01:21","F01 - Usina","1112222 - DOCE DE LEITE BALDES","39735"
"115640","True","18/03/2015 17:44:14",,"F01 - Usina","1112202 - UHT SIG","115640"
"074147","True","18/03/2015 17:46:48","28/01/2017 08:31:43","F01 - Usina","1112202 - UHT SIG","74147"
"121558","True","18/03/2015 17:54:01","23/01/2017 09:29:28","F01 - Usina","1114406 - EXPED SECOS","121558"
"130878","True","21/08/2015 06:38:11","26/12/2016 23:33:51","F01 - Usina","1112212 - TETRA TOP ENVASE","130878"
"118895","True","18/03/2015 18:03:49",,"F01 - Usina","1112202 - UHT SIG","118895"
"068252","True","01/08/2016 04:18:48","28/01/2017 05:56:32","F01 - Usina","1112202 - UHT SIG","68252"
"099821","True","01/08/2016 21:28:54","23/08/2016 22:55:54","F01 - Usina","1112209 - FERMENT POTES GRDS","99821"
"084185","True","18/03/2015 18:15:07",,"F01 - Usina","1112202 - UHT SIG","84185"
"121145","True","18/03/2015 18:16:50","18/01/2017 20:03:49","F01 - Usina","1112202 - UHT SIG","121145"
"096893","True","18/03/2015 18:18:31",,,,
"118740","True","18/03/2015 18:20:14","09/01/2017 00:30:22","F01 - Usina","1112202 - UHT SIG","118740"
"119393","True","18/03/2015 18:44:34","30/12/2016 14:57:18","F01 - Usina","1111113 - FERMENTACAO IOGURTES/BEB LACTEAS","119393"
"099820","True","18/03/2015 08:32:39","18/03/2015 19:04:51","F22 - Ivoti","1513311 - PROMOTORES","100709"
"091420","True","18/03/2015 18:52:03","19/03/2015 16:56:51","F01 - Usina","1112211 - FERMENT COPOS","91420"
"121681","True","18/03/2015 14:31:43","26/01/2017 20:06:31","F01 - Usina","1111112 - PASTEURIZACAO","121681"
"117688","True","18/03/2015 14:47:46","27/01/2017 13:38:48","F01 - Usina","1111114 - TETRA TOP FERMENTACAO","117688"
"032895","True","18/03/2015 15:06:59","28/01/2017 04:02:27","F01 - Usina","1111113 - FERMENTACAO IOGURTES/BEB LACTEAS","32895"
"085990","True","18/03/2015 18:07:25","20/03/2015 14:11:05","F01 - Usina","1112211 - FERMENT COPOS","85990"
"072050","True","18/03/2015 18:11:10","27/01/2017 10:32:46","F01 - Usina","1112205 - REQUEIJAO","72050"
